Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Some Features,,,,2021-12-22 09:51:43,2021-12-22 09:52:37,54.217s,FAILED
,,,,,,,
Test Cases/Login valid username password,,,,2021-12-22 09:51:43,2021-12-22 09:52:26,42.826s,PASSED
"startApplication(apk_file, false)",,,,2021-12-22 09:51:43,2021-12-22 09:52:01,17.225s,PASSED
"tap(findTestObject(""Home Page/Button Masuk""), 0)",,,,2021-12-22 09:52:01,2021-12-22 09:52:07,6.098s,PASSED
"verifyElementText(findTestObject(""Login Page/Text Masuk""), ""Masuk"", CONTINUE_ON_FAILURE)",,,,2021-12-22 09:52:07,2021-12-22 09:52:08,1.493s,PASSED
"verifyElementText(findTestObject(""Login Page/Email Text""), ""Email"", CONTINUE_ON_FAILURE)",,,,2021-12-22 09:52:08,2021-12-22 09:52:09,0.691s,PASSED
"setText(findTestObject(""Login Page/Email Field""), ""arini.inf@gmail.com"", 0)",,,,2021-12-22 09:52:09,2021-12-22 09:52:10,1.275s,PASSED
"verifyElementText(findTestObject(""Login Page/Password Text""), ""Password"", CONTINUE_ON_FAILURE)",,,,2021-12-22 09:52:10,2021-12-22 09:52:11,0.929s,PASSED
"setText(findTestObject(""Login Page/Password Field""), ""ariniinf"", 0)",,,,2021-12-22 09:52:11,2021-12-22 09:52:13,2.203s,PASSED
"tap(findTestObject(""Login Page/Icon Eye""), 0)",,,,2021-12-22 09:52:13,2021-12-22 09:52:14,1.121s,PASSED
"tap(findTestObject(""Login Page/Button Lanjutkan""), 0)",,,,2021-12-22 09:52:14,2021-12-22 09:52:16,1.235s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,2021-12-22 09:52:16,2021-12-22 09:52:26,10.070s,PASSED
,,,,,,,
Test Cases/Search Course,,,,2021-12-22 09:52:26,2021-12-22 09:52:37,11.027s,FAILED
"tap(findTestObject(""Home Page/Search Box""), 0)",,,,2021-12-22 09:52:26,2021-12-22 09:52:37,10.668s,FAILED
